download_count,project
1216239140,"boto3"
522158219,"urllib3"
515780987,"botocore"
475330145,"requests"
414408862,"certifi"
397389669,"typing-extensions"
389267949,"idna"
387594603,"charset-normalizer"
344665128,"python-dateutil"
344468401,"setuptools"
336309885,"packaging"
325335347,"s3transfer"
312699783,"aiobotocore"
311906041,"wheel"
297295755,"pyyaml"
296797245,"six"
279321640,"grpcio-status"
275842780,"pip"
259201797,"numpy"
257406933,"s3fs"
254275962,"fsspec"
249870138,"cryptography"
225989251,"cffi"
223824479,"google-api-core"
222856352,"pycparser"
212578218,"pandas"
206613354,"importlib-metadata"
195466608,"pyasn1"
194297490,"rsa"
194052927,"zipp"
191020658,"click"
189386837,"pydantic"
188410549,"attrs"
176459583,"protobuf"
174747104,"jmespath"
167015326,"platformdirs"
162667580,"pytz"
160271201,"jinja2"
159126927,"awscli"
158281250,"colorama"
157430205,"markupsafe"
151200681,"pyjwt"
142154371,"tomli"
134156462,"googleapis-common-protos"
133970535,"wrapt"
133146835,"filelock"
130825610,"cachetools"
130001714,"google-auth"
124996200,"pluggy"
119682421,"requests-oauthlib"
118983188,"virtualenv"
117547702,"pytest"
116144452,"oauthlib"
115941545,"pyarrow"
115634505,"docutils"
113043846,"exceptiongroup"
110168402,"pyasn1-modules"
109809048,"jsonschema"
106246301,"iniconfig"
105399141,"scipy"
104887778,"pyparsing"
104829193,"aiohttp"
104264728,"isodate"
103848570,"soupsieve"
103244506,"sqlalchemy"
100728545,"beautifulsoup4"
99503502,"psutil"
98213668,"pydantic-core"
97878667,"pygments"
97143187,"multidict"
96895114,"pyopenssl"
95503227,"yarl"
95337641,"decorator"
94151856,"tzdata"
91568795,"async-timeout"
91561499,"tqdm"
91097046,"grpcio"
91059921,"frozenlist"
90086650,"pillow"
90037901,"aiosignal"
89844339,"pypular"
88968363,"greenlet"
88839652,"openpyxl"
87121295,"et-xmlfile"
86773403,"requests-toolbelt"
85957011,"annotated-types"
83625734,"lxml"
82112470,"tomlkit"
81432088,"werkzeug"
81336091,"proto-plus"
80457254,"pynacl"
80290581,"deprecated"
79227109,"azure-core"
77951543,"asn1crypto"
76600584,"distlib"
74421168,"importlib-resources"
74035334,"coverage"
73457957,"more-itertools"
71268918,"google-cloud-storage"
