download_count,project
3717556977,"boto3"
2198449167,"packaging"
1904238788,"typing-extensions"
1861401883,"certifi"
1843477278,"urllib3"
1760742555,"idna"
1756048205,"requests"
1674555757,"charset-normalizer"
1563563625,"setuptools"
1497531138,"botocore"
1479413072,"cryptography"
1303772314,"cffi"
1280274438,"pluggy"
1270057742,"pygments"
1194612572,"pyyaml"
1188011910,"python-dateutil"
1177269151,"six"
1164834706,"aiobotocore"
1143792865,"numpy"
1107200067,"pycparser"
1105778495,"pydantic"
1091772181,"pytest"
1089240135,"click"
1033526081,"iniconfig"
1032777959,"anyio"
1007754482,"pydantic-core"
951128296,"grpcio-status"
924894579,"attrs"
924268948,"s3transfer"
894878618,"h11"
878523962,"fsspec"
871281123,"annotated-types"
868343626,"protobuf"
797118023,"markupsafe"
796983818,"httpx"
783609098,"httpcore"
782958676,"typing-inspection"
769110377,"pandas"
763006168,"platformdirs"
742847330,"pathspec"
740099887,"python-dotenv"
718583427,"jinja2"
717124668,"filelock"
715697201,"pyjwt"
704379780,"s3fs"
682782233,"litellm"
652344301,"jmespath"
648606617,"tqdm"
643629740,"aiohttp"
621403276,"yarl"
617503549,"pip"
613852561,"rich"
613779408,"markdown-it-py"
613601443,"rpds-py"
609510360,"uvicorn"
605601182,"starlette"
596925041,"jsonschema"
595760140,"wheel"
594005645,"multidict"
590070847,"google-auth"
587094457,"propcache"
570897622,"pyasn1"
568552369,"fastapi"
560621750,"aiohappyeyeballs"
554242815,"frozenlist"
551686335,"pytz"
548051038,"mdurl"
547140713,"pillow"
545376376,"referencing"
544435691,"importlib-metadata"
543199444,"websockets"
542941923,"opentelemetry-semantic-conventions"
540435669,"trove-classifiers"
540286306,"jsonschema-specifications"
537226203,"aiosignal"
532873318,"virtualenv"
531220461,"zipp"
521829274,"opentelemetry-sdk"
513693594,"googleapis-common-protos"
504527593,"tzdata"
495611441,"wrapt"
487249508,"sniffio"
484194815,"hatchling"
482456775,"google-api-core"
476388596,"greenlet"
463796331,"opentelemetry-api"
462465610,"pyasn1-modules"
456245916,"annotated-doc"
453025118,"pydantic-settings"
448963567,"scipy"
446417323,"grpcio"
443589157,"textual"
442399796,"huggingface-hub"
437721689,"regex"
432924469,"pyarrow"
432133462,"beautifulsoup4"
431035221,"colorama"
429288446,"tenacity"
428611663,"soupsieve"
422737345,"sqlalchemy"
417850387,"distro"
